category_fr,category_en,item_name_fr,item_name_en,description_fr,description_en,base_price_cad,price_seul,price_trio_or_combo,options_and_modifiers
Paninis,Paninis,Panini au Thon,Tuna Panini,"Panini garni de thon assaisonne, herbes et fromage","Toasted panini with seasoned tuna, herbs, and cheese",9.25,9.25,14.45,Format: Seul ($9.25) vs Trio ($14.45 avec Frites/Patates a l'ail + Boisson)
Paninis,Paninis,Panini au Saumon,Salmon Panini,Panini au filet de saumon assaisonne et grille,Toasted panini with seasoned grilled salmon,9.25,9.25,14.45,Format: Seul ($9.25) vs Trio ($14.45 avec Frites/Patates a l'ail + Boisson)
Paninis,Paninis,Panini au Fromage,Cheese Panini,Panini trois fromages fondant,Melted gourmet three-cheese panini,9.25,9.25,14.45,Format: Seul ($9.25) vs Trio ($14.45 avec Frites/Patates a l'ail + Boisson)
Paninis,Paninis,Panini Viande Hachee,Minced Beef Panini,Panini garni de boeuf hache assaisonne aux aromates,Toasted panini with seasoned minced beef,9.25,9.25,14.45,Format: Seul ($9.25) vs Trio ($14.45 avec Frites/Patates a l'ail + Boisson)
Bols de Curry,Curry Bowls,Poulet au Beurre (Butter Chicken),Butter Chicken Bowl,Morceaux de poulet tikka grilles dans une sauce cremeuse au beurre et aux amandes,Tikka chicken in rich creamy butter and almond tomato sauce,17.65,17.65 (Bol seul),Combo 1: $21.35 (+Riz) | Combo 2: $24.35 (+Riz+Naan Fromage) | Combo 3: $25.35 (+Riz+Naan Fromage+Boisson),"Options: Bol Seul ($17.65), Combo 1 (+Riz: $21.35), Combo 2 (+Riz+Naan Fromage: $24.35), Combo 3 (+Riz+Naan Fromage+Boisson: $25.35)"
Bols de Curry,Curry Bowls,Poulet Curry,Chicken Curry Bowl,Poulet mijote dans notre sauce curry speciale aux herbes et epices indiennes,Chicken simmered in special aromatic Indian curry sauce,17.65,17.65 (Bol seul),Combo 1: $21.35 (+Riz) | Combo 2: $24.35 (+Riz+Naan Fromage) | Combo 3: $25.35 (+Riz+Naan Fromage+Boisson),"Options: Bol Seul ($17.65), Combo 1 (+Riz: $21.35), Combo 2 (+Riz+Naan Fromage: $24.35), Combo 3 (+Riz+Naan Fromage+Boisson: $25.35)"
Bols de Curry,Curry Bowls,Poulet Malai Tikka,Malai Tikka Chicken Bowl,"Blanc de volaille dore au tandoor, prepare dans une sauce a la creme et au fromage",Tandoori golden chicken breast in creamy cheese-infused sauce,17.65,17.65 (Bol seul),Combo 1: $21.35 (+Riz) | Combo 2: $24.35 (+Riz+Naan Fromage) | Combo 3: $25.35 (+Riz+Naan Fromage+Boisson),"Options: Bol Seul ($17.65), Combo 1 (+Riz: $21.35), Combo 2 (+Riz+Naan Fromage: $24.35), Combo 3 (+Riz+Naan Fromage+Boisson: $25.35)"
Bols de Curry,Curry Bowls,Curry aux Crevettes,Shrimp Curry Bowl,"Crevettes marinees, cuites dans une sauce au curry avec epices",Marinated shrimp cooked in seasoned curry sauce,17.65,17.65 (Bol seul),Combo 1: $21.35 (+Riz) | Combo 2: $24.35 (+Riz+Naan Fromage) | Combo 3: $25.35 (+Riz+Naan Fromage+Boisson),"Options: Bol Seul ($17.65), Combo 1 (+Riz: $21.35), Combo 2 (+Riz+Naan Fromage: $24.35), Combo 3 (+Riz+Naan Fromage+Boisson: $25.35)"
Bols de Curry,Curry Bowls,Poulet Palak,Palak Chicken Bowl,"Epinards et poulet cuisines au beurre, gingembre, ail et epices","Fresh spinach and tender chicken cooked with butter, ginger, garlic and spices",17.65,17.65 (Bol seul),Combo 1: $21.35 (+Riz) | Combo 2: $24.35 (+Riz+Naan Fromage) | Combo 3: $25.35 (+Riz+Naan Fromage+Boisson),"Options: Bol Seul ($17.65), Combo 1 (+Riz: $21.35), Combo 2 (+Riz+Naan Fromage: $24.35), Combo 3 (+Riz+Naan Fromage+Boisson: $25.35)"
Bols de Curry,Curry Bowls,Paneer Makhani (Vegetarien),Paneer Makhani (Veg Bowl),Paneer (fromage maison) cuit dans une sauce cremeuse a base de tomates et d'epices,Homemade paneer cheese cubes in rich creamy tomato and butter gravy,15.25,15.25 (Bol seul),Combo 1: $18.35 (+Riz) | Combo 2: $21.35 (+Riz+Naan Fromage) | Combo 3: $22.35 (+Riz+Naan Fromage+Boisson),"Options: Bol Seul ($15.25), Combo 1 (+Riz: $18.35), Combo 2 (+Riz+Naan Fromage: $21.35), Combo 3 (+Riz+Naan Fromage+Boisson: $22.35)"
Bols de Curry,Curry Bowls,Palak Paneer (Vegetarien),Palak Paneer (Veg Bowl),"Epinards et paneer cuisines au beurre, gingembre, ail et epices","Fresh spinach and paneer cheese cooked with ginger, garlic and fragrant spices",15.25,15.25 (Bol seul),Combo 1: $18.35 (+Riz) | Combo 2: $21.35 (+Riz+Naan Fromage) | Combo 3: $22.35 (+Riz+Naan Fromage+Boisson),"Options: Bol Seul ($15.25), Combo 1 (+Riz: $18.35), Combo 2 (+Riz+Naan Fromage: $21.35), Combo 3 (+Riz+Naan Fromage+Boisson: $22.35)"
Biryani,Biryani,Biryani Poulet + Raita,Chicken Biryani with Raita,"Melange subtil de riz basmati, epices, amandes, raisins et noix de cajou avec poulet, servi avec sauce Raita","Basmati rice dish with aromatic spices, raisins, cashews, chicken and cucumber Raita sauce",18.85,18.85,N/A (Raita inclus),"Inclus: Portion de Raita (yaourt fouette aux concombres, tomates, oignons et epices)"
Biryani,Biryani,Biryani Crevette + Raita,Shrimp Biryani with Raita,"Riz basmati parfume aux epices, amandes, raisins et noix de cajou avec crevettes, servi avec sauce Raita","Basmati rice dish with shrimp, aromatic spices, nuts, raisins and cucumber Raita sauce",18.85,18.85,N/A (Raita inclus),"Inclus: Portion de Raita (yaourt fouette aux concombres, tomates, oignons et epices)"
Nos Assiettes,Dinner Platters,Assiette Kebab au Poulet,Chicken Kebab Platter,"Plat complet servi avec salade au choix, frites ou patates a l'ail, riz basmati et pain kebab","Complete platter served with choice of salad, fries or garlic potatoes, basmati rice and kebab bread",17.65,17.65 (Seul),19.15 (Avec Boisson),"Choix de Salade: Salade Maison, Salade Chou, Salade Macaroni, Nouilles aux Legumes Sautees; Choix d'accompagnement: Frites ou Patates a l'ail; Inclus: Riz Basmati et Pain Kebab; Option Boisson (+1.50$)"
Nos Assiettes,Dinner Platters,Assiette Kebab Dinde et Boeuf,Turkey & Beef Kebab Platter,"Emince de dinde et boeuf servi avec salade au choix, frites/patates a l'ail, riz basmati et pain kebab","Shaved turkey & beef platter with choice of salad, fries/garlic potatoes, basmati rice and bread",17.65,17.65 (Seul),19.15 (Avec Boisson),"Choix de Salade: Salade Maison, Salade Chou, Salade Macaroni, Nouilles aux Legumes Sautees; Choix d'accompagnement: Frites ou Patates a l'ail; Inclus: Riz Basmati et Pain Kebab; Option Boisson (+1.50$)"
Nos Assiettes,Dinner Platters,Assiette Poulet Tikka,Chicken Tikka Platter,"Morceaux de poulet tikka grilles servis avec salade au choix, frites/patates, riz et pain kebab","Tandoori chicken tikka platter with choice of salad, fries/potatoes, basmati rice and bread",17.65,17.65 (Seul),19.15 (Avec Boisson),"Choix de Salade: Salade Maison, Salade Chou, Salade Macaroni, Nouilles aux Legumes Sautees; Choix d'accompagnement: Frites ou Patates a l'ail; Inclus: Riz Basmati et Pain Kebab; Option Boisson (+1.50$)"
Nos Assiettes,Dinner Platters,Assiette Poulet Masala,Chicken Masala Platter,"Poulet masala aux epices servi avec salade au choix, frites/patates, riz basmati et pain kebab","Spiced chicken masala platter with choice of salad, fries/potatoes, rice and kebab bread",17.65,17.65 (Seul),19.15 (Avec Boisson),"Choix de Salade: Salade Maison, Salade Chou, Salade Macaroni, Nouilles aux Legumes Sautees; Choix d'accompagnement: Frites ou Patates a l'ail; Inclus: Riz Basmati et Pain Kebab; Option Boisson (+1.50$)"
Nos Assiettes,Dinner Platters,Assiette Galette de Boeuf,Beef Patty Platter,"Galettes de boeuf assaisonnees servies avec salade, frites/patates a l'ail, riz et pain kebab","Seasoned beef patties platter with salad, fries/garlic potatoes, rice and kebab bread",17.65,17.65 (Seul),19.15 (Avec Boisson),"Choix de Salade: Salade Maison, Salade Chou, Salade Macaroni, Nouilles aux Legumes Sautees; Choix d'accompagnement: Frites ou Patates a l'ail; Inclus: Riz Basmati et Pain Kebab; Option Boisson (+1.50$)"
Nos Assiettes,Dinner Platters,Assiette Mix (2 Viandes au choix),Mix Platter (2 Meats),"Assiette de 2 viandes au choix avec salade au choix, frites/patates a l'ail, riz et pain kebab","Platter with choice of 2 meats, salad, fries or garlic potatoes, basmati rice and bread",19.95,19.95 (Seul),21.20 (Avec Boisson),"Choix de 2 Viandes; Choix de Salade: Salade Maison, Salade Chou, Salade Macaroni, Nouilles aux Legumes Sautees; Choix d'accompagnement: Frites ou Patates a l'ail; Inclus: Riz Basmati et Pain Kebab; Option Boisson (+1.25$)"
Nos Burgers,Burgers,Burger de Poulet,Chicken Burger,Burger au filet de poulet croustillant avec garniture fraiche,Crispy chicken breast burger with fresh lettuce and sauce,8.45,8.45,13.45,Format: Seul ($8.45) vs Trio ($13.45 avec Frites/Patates + Boisson)
Nos Burgers,Burgers,Cheese Burger,Cheeseburger,Burger classique pur boeuf avec fromage cheddar fondu,Classic beef burger with melted cheddar cheese,6.95,6.95,11.95,Format: Seul ($6.95) vs Trio ($11.95 avec Frites/Patates + Boisson)
Nos Burgers,Burgers,Double Cheese Burger,Double Cheeseburger,Deux galettes de boeuf juteuses et double fromage cheddar,Two juicy beef patties with double melted cheddar,6.75,6.75,11.70,Format: Seul ($6.75) vs Trio ($11.70 avec Frites/Patates + Boisson)
Nos Burgers,Burgers,Burger Vegetarien,Veggie Burger,Galette vegetarienne savoureuse avec salade et sauce,Tasty vegetarian patty with crisp lettuce and sauce,6.75,6.75,11.75,Format: Seul ($6.75) vs Trio ($11.75 avec Frites/Patates + Boisson)
Nos Poutines,Poutines,Poutine Reguliere,Regular Poutine,"Frites ou patates a l'ail, fromage en grains frais et choix de sauce","Fries or garlic potatoes, fresh cheese curds, and choice of sauce",11.35,Avec Frites: Petit $11.35 / Grand $14.45,Avec Patates a l'ail: Petit $12.75 / Grand $15.75,Choix de Base: Frites vs Patates a l'ail (+1.40$/+1.30$); Choix de Sauce: Sauce Brune ou Sauce Poulet au Beurre; Format: Petit vs Grand
Nos Poutines,Poutines,Poutine Kebab au Poulet,Chicken Kebab Poutine,Poutine garnie de viande de kebab de poulet grille,Poutine loaded with savory grilled chicken kebab meat,14.50,Avec Frites: Petit $14.50 / Grand $17.50,Avec Patates a l'ail: Petit $15.75 / Grand $18.75,Choix de Base: Frites vs Patates a l'ail (+1.25$); Choix de Sauce: Sauce Brune ou Sauce Poulet au Beurre; Format: Petit vs Grand
Nos Poutines,Poutines,Poutine Kebab Dinde et Boeuf,Turkey & Beef Kebab Poutine,Poutine garnie de delicieux kebab de dinde et boeuf,Poutine topped with shaved turkey and beef kebab,14.50,Avec Frites: Petit $14.50 / Grand $17.50,Avec Patates a l'ail: Petit $15.75 / Grand $18.75,Choix de Base: Frites vs Patates a l'ail (+1.25$); Choix de Sauce: Sauce Brune ou Sauce Poulet au Beurre; Format: Petit vs Grand
Nos Poutines,Poutines,Poutine Poulet Tikka,Chicken Tikka Poutine,Poutine garnie de morceaux de poulet tikka tandoori epice,Poutine topped with spiced tandoori chicken tikka chunks,14.95,Avec Frites: Petit $14.95 / Grand $17.95,Avec Patates a l'ail: Petit $16.25 / Grand $19.25,Choix de Base: Frites vs Patates a l'ail (+1.30$); Choix de Sauce: Sauce Brune ou Sauce Poulet au Beurre; Format: Petit vs Grand
Nos Poutines,Poutines,Poutine Poulet Masala,Chicken Masala Poutine,Poutine garnie de poulet marine au masala,Poutine loaded with aromatic spiced masala chicken,14.95,Avec Frites: Petit $14.95 / Grand $17.95,Avec Patates a l'ail: Petit $16.25 / Grand $19.25,Choix de Base: Frites vs Patates a l'ail (+1.30$); Choix de Sauce: Sauce Brune ou Sauce Poulet au Beurre; Format: Petit vs Grand
Nos Poutines,Poutines,Poutine Poulet Popcorn,Popcorn Chicken Poutine,Poutine garnie de bouchees de poulet popcorn croustillant,Poutine topped with crunchy golden bite-sized popcorn chicken,14.50,Avec Frites: Petit $14.50 / Grand $17.50,Avec Patates a l'ail: Petit $15.75 / Grand $18.75,Choix de Base: Frites vs Patates a l'ail (+1.25$); Choix de Sauce: Sauce Brune ou Sauce Poulet au Beurre; Format: Petit vs Grand
A Cote & Naans,Sides & Naans,Naan Nature,Plain Naan,Pain naan traditionnel cuit au four tandoor,Traditional oven-baked plain naan bread,3.00,3.00,N/A,N/A
A Cote & Naans,Sides & Naans,Naan Fromage,Cheese Naan,Pain naan fourre au fromage fondant,Naan bread stuffed with melted cheese,4.50,4.50,N/A,N/A
A Cote & Naans,Sides & Naans,Naan a l'Ail,Garlic Naan,Pain naan garni d'ail frais et coriandre,Naan bread brushed with fresh garlic and cilantro,4.50,4.50,N/A,N/A
A Cote & Naans,Sides & Naans,Naan a l'Ail + Fromage,Garlic & Cheese Naan,Pain naan fourre au fromage et garni d'ail frais,Naan stuffed with melted cheese and topped with garlic,5.50,5.50,N/A,N/A
A Cote & Naans,Sides & Naans,Samosa aux Legumes (2 pcs),Vegetable Samosas (2 pcs),Deux beignets triangulaires croustillants farcis aux legumes epices,Two crisp triangular pastries stuffed with spiced vegetables,4.65,4.65,N/A,Portion de 2 pieces
A Cote & Naans,Sides & Naans,Samosa au Poulet (2 pcs),Chicken Samosas (2 pcs),Deux beignets croustillants farcis au poulet hache epice,Two golden crisp pastries stuffed with savory spiced minced chicken,5.65,5.65,N/A,Portion de 2 pieces
A Cote & Naans,Sides & Naans,Poulet Tikka (Portion a cote),Chicken Tikka Side,Morceaux de poulet tikka grilles servis a la carte,A la carte portion of grilled tandoori chicken tikka,10.25,10.25,N/A,N/A
A Cote & Naans,Sides & Naans,Riz Basmati,Basmati Rice,Portion de riz basmati parfume,Steamed aromatic basmati rice,5.25,5.25,N/A,N/A
A Cote & Naans,Sides & Naans,Pain Kebab (Seul),Kebab Bread,Pain pita kebab moelleux,Soft traditional kebab pita bread,0.95,0.95,N/A,N/A
A Cote & Naans,Sides & Naans,Frites,French Fries,Frites croustillantes dorees,Golden crispy french fries,5.95,Petite: $5.95 | Grande: $8.00,N/A,Choix de taille: Petite ($5.95) vs Grande ($8.00)
A Cote & Naans,Sides & Naans,Rondelles d'Oignons,Onion Rings,Rondelles d'oignons croustillantes et panees,Crispy breaded golden onion rings,6.95,6.95,N/A,N/A
A Cote & Naans,Sides & Naans,Nuggets de Poulet,Chicken Nuggets,Morceaux de poulet tendre enrobage dore,Crispy golden chicken nuggets,7.90,6 PCS: $7.90 | 10 PCS: $11.90 | 20 PCS: $16.90,N/A,"Choix de portion: 6 pcs ($7.90), 10 pcs ($11.90), 20 pcs ($16.90)"
Menu Enfant,Kids Menu,Menu Enfant - Nuggets,Kids Nuggets Meal,Nuggets de poulet croustillants servis avec frites et boisson,Crispy chicken nuggets served with fries and a kids drink,8.95,8.95,8.95 (Complet),Inclus: Nuggets + Frites + Boisson
Menu Enfant,Kids Menu,Menu Enfant - Petite Assiette Poulet,Kids Chicken Plate Meal,Petite portion de poulet tendre servie avec frites et boisson,Tender chicken pieces served with french fries and a kids drink,9.50,9.50,9.50 (Complet),Inclus: Petite Assiette Poulet + Frites + Boisson
Desserts,Desserts,Gulab Jamun (2 pcs),Gulab Jamun (2 pcs),Douceur traditionnelle indienne au sirop de cardamome et rose,Traditional warm milk-solid dumplings soaked in rose and cardamom syrup,4.99,4.99,N/A,Portion de 2 pieces
Desserts,Desserts,Ras Malai,Ras Malai,Palets de fromage doux dans une creme onctueuse au safran et pistaches,Soft cottage cheese patties steeped in saffron and cardamom flavored sweet milk,4.99,4.99,N/A,N/A
Boissons,Beverages,Canette (Soda),Canned Soda,"Canette de soda rafraichissante (Pepsi, 7Up, etc.)","Chilled canned soda (Pepsi, Diet Pepsi, 7Up, Iced Tea)",2.25,2.25,N/A,"Varietes au choix: Pepsi, 7Up, etc."
Boissons,Beverages,Bouteille (Jarritos / Sodas),Bottled Drinks (Jarritos),Bouteille de soda mexicain Jarritos aux saveurs de fruits,Bottled Mexican fruit soda (Jarritos flavors),3.25,3.25,N/A,"Saveurs au choix: Mangue, Mandarine, Lime, Goyave, Ananas"
Boissons,Beverages,Bouteille d'Eau,Bottled Water,Bouteille d'eau minerale fraiche,Cold bottled spring water,1.75,1.75,N/A,N/A
Boissons,Beverages,Lassi Mangue ou Rose,Mango or Rose Lassi,Boisson onctueuse et rafraichissante au yaourt parfume,Creamy traditional Indian chilled yogurt smoothie,4.50,4.50,N/A,Saveurs au choix: Lassi Mangue ou Lassi Rose
